ID,age,gender,year,house,usregion,englishspk,languages,psycharea,studyhours,workouthours,tvhours,avgworkhours,wakeup,drinks,friends,partner,travelUS,travelcountry,yankredsox,phone,reading,dailyactivities_1,dailyactivities_2,dailyactivities_3,dailyactivities_4,dailyactivities_5,dailyactivities_6,dailyactivities_7,dailyactivities_8,dailyactivities_9,dailyactivities_10,dailyactivities_11,dailyactivities_12,dailyactivities_13,dailyactivities_14,dailyactivities_15,dailyactivities_16,dailyactivities_17,dailyactivities_18,dailyactivities_19,dailyactivities_20,dailyactivities_21,dailyactivities_22,superstitionYN_1,superstitionYN_2,superstitionYN_3,superstitionYN_4,superstitionLik_1,superstitionLik_2
48,26,Other/Prefer not to identify,Other,Off-campus,Not from the US,Yes,1,Developmental,3,0,10,20,5-7 am,0,4,No,21,11,I don't care,iPhone,Fiction,3,2,1,0,3,2,2,1,1,0,4,4,3,2,1,4,2,2,0,4,1,4,No,No,No,No,2,1
49,20,Female,Junior,Quincy,South,No,2,Clinical,20,2,5,25,8-10 am,0,3,No,10,5,Red Sox,iPhone,Fiction,2,0,3,1,1,0,0,1,0,2,1,3,0,0,2,0,1,1,4,2,0,3,No,No,No,No,1,1
50,18,Female,Freshman,I'm not in a house yet,Midwest,No,3,Social,4,8,2,5,8-10 am,0,2,No,23,11,I don't care,iPhone,Fiction,1,4,2,1,2,2,2,0,0,2,4,2,0,0,2,2,1,3,3,3,4,3,No,Yes,No,No,0,0
51,19,Female,Sophomore,Cabot,South,Yes,1,Clinical,25,8,5,30,8-10 am,2,5,No,16,15,Red Sox,iPhone,Fiction,0,1,1,2,2,3,3,2,2,3,3,2,0,0,2,1,1,3,2,3,2,3,No,Yes,No,No,1,1
52,19,Female,Sophomore,Winthrop,South,No,2,Clinical,10,1,0,20,5-7 am,0,5,No,4,2,Red Sox,iPhone,Fiction,4,0,4,3,1,3,4,4,4,4,3,1,0,1,3,1,2,2,3,3,3,1,No,No,No,No,2,0
53,19,Female,Sophomore,Currier,South,No,2,Other,15,0,2,20,8-10 am,2,2,Kind of sort of,17,1,I don't care,iPhone,Celebrity gossip,0,3,0,1,2,1,3,0,0,0,3,1,1,0,2,0,0,1,1,1,0,1,Yes,Yes,No,No,2,2
54,19,Female,Sophomore,Adams,West,Yes,1,Social,10,8,0,12,5-7 am,5,7,Yes,17,11,I don't care,iPhone,Fiction,1,3,2,1,3,0,3,4,4,2,4,3,0,0,2,4,4,1,2,3,1,4,Yes,Yes,Yes,Yes,1,2
55,22,Female,Senior,Dudley,West,Yes,2,Social,25,8,0,25,5-7 am,0,12,No,26,5,I don't care,iPhone,Fiction,2,1,4,3,1,1,1,1,0,1,3,3,0,0,1,2,3,1,4,1,1,2,Yes,No,No,No,0,1
56,20,Female,Sophomore,Adams,West,Yes,1,Social,10,12,4,15,5-7 am,5,10,No,15,20,Red Sox,iPhone,Fiction,1,1,0,0,4,2,4,4,4,3,3,3,0,0,1,3,2,3,2,4,2,4,Yes,Yes,Yes,Yes,3,2
57,19,Female,Sophomore,Mather,South,Yes,5,Social,13,8,6,15,8-10 am,3,2,Kind of sort of,8,4,I don't care,iPhone,Fiction,1,1,3,1,3,0,3,0,3,4,4,1,0,0,4,2,3,3,4,4,2,4,No,No,Yes,No,0,1
58,21,Female,Senior,Winthrop,South,Yes,2,Social,5,6,4,10,8-10 am,1,4,No,17,14,I don't care,iPhone,Fiction,3,0,1,1,2,1,2,1,2,2,3,3,1,1,2,3,2,3,3,3,2,3,No,No,No,No,0,0
59,19,Female,Sophomore,Quincy,East,Yes,1,Clinical,20,3,0,30,8-10 am,4,3,No,17,9,Red Sox,iPhone,Fiction,1,2,1,1,3,3,2,0,1,3,3,1,0,0,4,0,1,3,0,3,3,1,No,No,No,Yes,1,1
60,20,Female,Junior,Cabot,East,Yes,1,Social,25,10,0,20,8-10 am,4,2,Yes,19,2,Red Sox,iPhone,Fiction,1,2,0,1,3,2,3,2,3,1,3,2,0,0,2,1,1,3,1,3,3,3,No,Yes,No,No,0,0
